Hanzi,Meaning,Reading,Color,Mean Word,Sound,Simplified,Traditional,Also Written,Ruby,Silhouette,
占空间,to take up space,"""<span class=""""tone4"""">zhàn</span> <span class=""""tone1"""">kōng</span><span class=""""tone1"""">jiān</span> <!-- zhan kong jian -->""","""<span class=""""tone4"""">占</span><span class=""""tone1"""">空</span><span class=""""tone1"""">间</span>""",,[sound:占空间_google_zh-CN.mp3],,占空間,,"""<span class=""""tone4""""><ruby>占<rt>zhàn</rt></ruby></span><span class=""""tone1""""><ruby>空<rt>kōng</rt></ruby></span><span class=""""tone1""""><ruby>间<rt>jiān</rt></ruby></span>""",_ _ _,
贵重,precious (w/ g)<br>valuable,guìzhòng,贵重,,,,,,,_ _,
侮辱,insult<br>to insult<br>humiliation,wǔrǔ,侮辱,,,,,,,,
从头到尾,from beginning to end<br>from head to tail,cóngtóu dào wěi,从头到尾,,,,,,,,
玫瑰花,rose,méigui huā,玫瑰花,朵,,,,,,,
承诺,promise<br>to promise,chéngnuò,承诺,,,,,,,,
挥手,"""to wave one's hand""","""<span class=""""tone1"""">huī</span><span class=""""tone3"""">shǒu</span> <!-- hui shou -->""","""<span class=""""tone1"""">挥</span><span class=""""tone3"""">手</span>""",,[sound:挥手_google_zh-CN.mp3],,揮手,,"""<span class=""""tone1""""><ruby>挥<rt>huī</rt></ruby></span><span class=""""tone3""""><ruby>手<rt>shǒu</rt></ruby></span>""",_ _,
言论,views (not kanfa)<br>expressions of opinion,"""<span class=""""tone2"""">yán</span><span class=""""tone4"""">lùn</span> <!-- yan lun -->""","""<span class=""""tone2"""">言</span><span class=""""tone4"""">论</span>""",,[sound:言论_google_zh-CN.mp3],,言論,,"""<span class=""""tone2""""><ruby>言<rt>yán</rt></ruby></span><span class=""""tone4""""><ruby>论<rt>lùn</rt></ruby></span>""",_ _,
靠得住,reliable<br>can be counted on,kào de zhù,靠得住,,,,,,,_ 得 _,
靠不住,"""unreliable<br>can't be counted on (RC)""",kàobùzhù,靠不住,,,,,,,,
岸,bank<br>shore<br>coast,àn,岸,,,,,,,_,
棒子,stick<br>club<br>cudgel,bàngzi,棒子,,,,,,,_ _,
傍晚,early evening,bàngwǎn,傍晚,,,,,,,,
包裹,package (as in - mailed),bāoguǒ,包裹,,,,,,,,
馅,stuffing/filling (of food),xiàn,馅,,,,,,,,
宝贝,tresure<br>prized possesion<br>baby/darling,bǎobèi,宝贝,,,,,,,,
纯,<div>pure</div>simple<br>plain<br>unmixed,chún,纯,,,,,,,_,
叠,to fold,"""<span class=""""tone2"""">dié</span> <!-- die -->""","""<span class=""""tone2"""">叠</span>""",,[sound:叠_google_zh-CN.mp3],,曡,,"""<span class=""""tone2""""><ruby>叠<rt>dié</rt></ruby></span>""",_,
疝气,hernia,shànqì,疝气,,,,,,,,
切口,incision<br>slit,qiēkǒu,切口,,,,,,,,
银行家,banker (occupation),<table><tbody><tr><td>yínháng jiā</td></tr></tbody></table>,银行家,,,,,,,,
教师,teacher (w/ j),"""<span class=""""tone4"""">jiào</span><span class=""""tone1"""">shī</span> <!-- jiao shi -->""","""<span class=""""tone4"""">教</span><span class=""""tone1"""">师</span>""",,[sound:教师_google_zh-CN.mp3],,教師,,"""<span class=""""tone4""""><ruby>教<rt>jiào</rt></ruby></span><span class=""""tone1""""><ruby>师<rt>shī</rt></ruby></span>""",_ _,
不现实,unrealistic,bù xiànshí,不现实,,,,,,,,
被迫,to be forced (passive),"""<span class=""""tone4"""">bèi</span><span class=""""tone4"""">pò</span> <!-- bei po -->""","""<span class=""""tone4"""">被</span><span class=""""tone4"""">迫</span>""",,[sound:被迫_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>被<rt>bèi</rt></ruby></span><span class=""""tone4""""><ruby>迫<rt>pò</rt></ruby></span>""",_ _,
偶像,idol,"""<span class=""""tone3"""">ǒu</span><span class=""""tone4"""">xiàng</span> <!-- ou xiang -->""","""<span class=""""tone3"""">偶</span><span class=""""tone4"""">像</span>""",,[sound:偶像_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>偶<rt>ǒu</rt></ruby></span><span class=""""tone4""""><ruby>像<rt>xiàng</rt></ruby></span>""",_ _,
平面设计,graphic design,píngmiàn shèjì,平面设计,,,,,,,,
天敌,predator<br>natural enemy,tiāndí,天敌,,,,,,,,
远程,remote (adj.)<br>long-distance,yuǎnchéng,远程,,,,,,,,
私教,personal tutor<br>personal trainer,sījiào,私教,,,,,,,,
本质,nature/essence,běnzhì,本质,,,,,,,,
比例,"scale (of a map, etc)",bǐlì,比例,,,,,,,,
禁令,ban<div>prohibition</div>,jìnlìng,禁令,,,,,,,,
放鞭炮,to set off firecrackers,fàng biānpào,放鞭炮,,,,,,,,
标点,punctuation,biāodiǎn,标点,,,,,,,,
标题,heading<div>headline</div>,biāotí,标题,,,,,,,,
相对于。。。,as opposed to,xiāngduì yú...,相对于。。。,,,,,,,,
服刑,to serve a prison sentence,fúxíng,服刑,,,,,,,,
服刑十年,to serve 10 years (in prison),fúxíng shí nián,服刑十年,,,,,,,,
获释,"<div>to be freed (from prison, hostage situation, etc.)</div>",huòshì,获释,,,,,,,,
监狱,prison,"""<span class=""""tone1"""">jiān</span><span class=""""tone4"""">yù</span> <!-- jian yu -->""","""<span class=""""tone1"""">监</span><span class=""""tone4"""">狱</span>""",,[sound:监狱_google_zh-CN.mp3],,監獄,,"""<span class=""""tone1""""><ruby>监<rt>jiān</rt></ruby></span><span class=""""tone4""""><ruby>狱<rt>yù</rt></ruby></span>""",_ _,
表现,"to display/manifest<div>manifestation<br><div>to show</div><div>performance (at work, etc.)</div></div>","""<span class=""""tone3"""">biǎo</span><span class=""""tone4"""">xiàn</span> <!-- biao xian -->""","""<span class=""""tone3"""">表</span><span class=""""tone4"""">现</span>""",,[sound:表现_google_zh-CN.mp3],,表現,,"""<span class=""""tone3""""><ruby>表<rt>biǎo</rt></ruby></span><span class=""""tone4""""><ruby>现<rt>xiàn</rt></ruby></span>""",_ _,
透明,transparent (lit. and fig.),tòumíng,透明,,,,,,,,
结实,sturdy<div>rugged</div><div>durable</div><div>buff (physique)</div>,jiēshi,结实,,,,,,,,
<table><tbody><tr><td>布</td></tr></tbody></table>,cloth,bù,<table><tbody><tr><td>布</td></tr></tbody></table>,,,,,,,_,
事业,business,shìyè,事业,,,,,,,事 _,
地域,region (w/ d - not 地区)<div>area</div>,dìyù,地域,,,,,,,,
出于。。。,"out of... (concern, consideration)",chū yú...,出于。。。,,,,,,,,
采纳,"to adopt (a method, advice...)",cǎinà,采纳,,,,,,,,
公民,citizen,gōngmín,公民,,,,,,,,
推广,"to popularize, to spread (w/ t)",tuīguǎng,推广,,,,,,,_ _,
应用,"applied (science, etc.)<div>application</div><div>to apply/put to use</div>",yìngyòng,应用,,,,,,,,
司,department (under a ministry - w/ s),sī,司,,,,,,,_,
义务,obligation (w/ yi)<div>duty</div>,yìwù,义务,,,,,,,,
公务员,government official (more like functionary),gōngwù yuán,公务员,,,,,,,_ _ _,
监督,to supervise,jiāndū,监督,,,,,,,,
设施,facilities<div>installation (as in the facility)</div>,"""<span class=""""tone4"""">shè</span><span class=""""tone1"""">shī</span> <!-- she shi -->""","""<span class=""""tone4"""">设</span><span class=""""tone1"""">施</span>""",,[sound:设施_google_zh-CN.mp3],,設施,,"""<span class=""""tone4""""><ruby>设<rt>shè</rt></ruby></span><span class=""""tone1""""><ruby>施<rt>shī</rt></ruby></span>""",_ _,
警告,to warn (w/ j)<div>a warning</div>,jǐnggào,警告,,,,,,,,
土语,local dialect,tǔyǔ,土语,,,,,,,,
异体字,character variant,yìtǐ zì,异体字,,,,,,,,
限定,to limit (not 限制)<div>to restrict to</div>,xiàndìng,限定,,,,,,,,
自身,"""oneself/itself (w/ z)<div>one's own</div>""",zìshēn,自身,,,,,,,,
宝贵,precious (w/ b)<div>valuable</div><div>to treasure</div>,bǎoguì,宝贵,,,,,,,,
遗产,"heritage, legacy",yíchǎn,遗产,,,,,,,,
保留,to retain<div>to hold back</div><div>to have reservations</div>,bǎoliú,保留,,,,,,,,
必要,necessities (n.)<div>necessary (adj.)</div><div>indispensible</div>,bìyào,必要,,,,,,,_ _,
文物,cultural artifact/relic,wénwù,文物,,,,,,,,
古迹,historical site,gǔjì,古迹,,,,,,,,
姓氏,surname,xìngshì,姓氏,,,,,,,_ _,
篆刻,seal cutting (the art),zhuànkè,篆刻,,,,,,,,
国务院,the (Chinese) State Council,guówùyuàn,国务院,,,,,,,,
批准,to approve<div>to ratify</div>,pīzhǔn,批准,,,,,,,,
公务,official business<div>public affairs</div>,gōngwù,公务,,,,,,,,
用语,choice of words<div>wording</div>,"""<span class=""""tone4"""">yòng</span><span class=""""tone3"""">yǔ</span> <!-- yong yu -->""","""<span class=""""tone4"""">用</span><span class=""""tone3"""">语</span>""",,[sound:用语_google_zh-CN.mp3],,用語,,"""<span class=""""tone4""""><ruby>用<rt>yòng</rt></ruby></span><span class=""""tone3""""><ruby>语<rt>yǔ</rt></ruby></span>""",_ _,
人事部,human resources department,rénshì bù,人事部,,,,,,,,
列为,to be classified as,lièwéi,列为,,,,,,,,
当官,to serve as an official,dāngguān,当官,,,,,,,,
上岗,"""to take up one's post""",shànggǎng,上岗,,,,,,,,
自。。。起,from (some time) on...,zì... qǐ,自。。。起,,,,,,,_..._,
出于关心,out of concern,chū yú guānxīn,出于关心,,,,,,,,
步骤,step (in a procedure)<div>procedure</div>,bùzhòu,步骤,,,,,,,,
转让,"to transfer (ownership, rights, etc.)",zhuǎnràng,转让,,,,,,,,
参考,reference<div>to refer to/consult</div>,cānkǎo,参考,,,,,,,,
册,booklet<div>panphlet</div>,cè,册,,,,,,,_,
收费,fees (not 缴费)<div>to charge a fee</div>,shōufèi,收费,,,,,,,,
测验,"test (smaller, less formal - not 测试)","""<span class=""""tone4"""">cè</span><span class=""""tone4"""">yàn</span> <!-- ce yan -->""","""<span class=""""tone4"""">测</span><span class=""""tone4"""">验</span>""",次，个,[sound:测验_google_zh-CN.mp3],,測驗,,"""<span class=""""tone4""""><ruby>测<rt>cè</rt></ruby></span><span class=""""tone4""""><ruby>验<rt>yàn</rt></ruby></span>""",_ _,
叉,"to stick in, to pick, to fork<div>prong</div><div>fork</div>",chā,叉,,,,,,,_,
畅销,to sell well<div>a best seller/chart-topper</div><div>best selling/chart-topping</div>,chàngxiāo,畅销,,,,,,,,
常识,common sense,chángshí,常识,,,,,,,,
车库,garage,chēkù,车库,,,,,,,,
清扫,"""<span style=""""color: var(--field-fg); font-family: -apple-system-body; background: var(--field-bg);"""">to mop (lit. and fig.)</span><br><div><font face=""""-apple-system-body"""">to sweep</font></div>""",qīngsǎo,清扫,,,,,,,,
车厢,"carraige, car (of a train, etc.)",chēxiāng,车厢,,,,,,,,
称呼,to address<div>form of address</div><div>appellation</div>,chēnghu,称呼,,,,,,,,
波及,to spread (w/ b)<div>to involve</div><div>to affect</div>,bōjí,波及,,,,,,,,
程度,"degree, level, extent",chéngdù,程度,,,,,,,,
成分,"composition, make-up<div>component</div>",chéngfèn,成分,,,,,,,成 _,
成果,achievement (as in fruits)<div>results</div>,chéngguǒ,成果,,,,,,,,
字面,literal<div>literally</div><div>typeface</div>,zìmiàn,字面,,,,,,,,
抽屉,drawer,chōuti,抽屉,,,,,,,,
口袋,"pocket, sack, bag",kǒudài,口袋,,,,,,,_ _,
翅膀,wing,chìbǎng,翅膀,,,,,,,_ _,
重伤,a serious injury,zhòngshāng,重伤,,,,,,,,
尺子,ruler,chǐzi,尺子,把,,,,,,,
量的准,to measure accurately,liàng de zhǔn,量的准,,,,,,,,
神父,priest (not pastor),shénfù,神父,,,,,,,,
天主教,Catholicism,tiānzhǔ jiào,天主教,,,,,,,,
新教,protestantism,xīnjiào,新教,,,,,,,,
祈祷,to pray (w/ q)<div>prayer</div>,qídǎo,祈祷,,,,,,,,
会众,congregation (of a church),"""<span class=""""tone4"""">huì</span><span class=""""tone4"""">zhòng</span> <!-- hui zhong -->""","""<span class=""""tone4"""">会</span><span class=""""tone4"""">众</span>""",,[sound:会众_google_zh-CN.mp3],,會眾,,"""<span class=""""tone4""""><ruby>会<rt>huì</rt></ruby></span><span class=""""tone4""""><ruby>众<rt>zhòng</rt></ruby></span>""",_ _,
跪,to kneel,"""<span class=""""tone4"""">guì</span> <!-- gui -->""","""<span class=""""tone4"""">跪</span>""",,[sound:跪_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>跪<rt>guì</rt></ruby></span>""",_,
十字架,cross<div>crucifix</div>,<table><tbody><tr><td>shízì jià</td></tr></tbody></table>,十字架,,,,,,,,
基督,Christ,jīdū,基督,,,,,,,,
钉死,to crucify<div>to execute by impalement (generally)</div><div>to fix securely</div>,dìngsǐ,钉死,,,,,,,,
钉,nail<div>to nail</div>,dìng,钉,,,,,,,,
热点,hotspot (phone),rèdiǎn,热点,,,,,,,,
十约,the Ten Commandments,shí yuē,十约,,,,,,,,
犹太教,Judaism,yóutàijiào,犹太教,,,,,,,,
旧约,the Old Testament,jiù yuē,旧约,,,,,,,,
新约,the New Testament,xīn yuē,新约,,,,,,,,
中介,intermediary<div>agency<br><div>to act as an intermediary</div><div>inter-</div></div>,zhōngjiè,中介,,,,,,,,
雕塑,statue<div>to sculpt<br><div>sculpture</div></div>,diāosù,雕塑,,,,,,,,
拜偶像,idolatry,bài ǒuxiàng,拜偶像,,,,,,,,
摩擦,friction (lit. and fig.),mócā,摩擦,,,,,,,,
洞,hole,dòng,洞,,,,,,,,
顶,top<div>apex</div><div>crown</div>,dǐng,顶,,,,,,,,
页顶,top of the page,yè dǐng,页顶,,,,,,,,
。。。随时都可能发生,... can happen at any time,... suíshí dōu kěnéng fāshēng,。。。随时都可能发生,,,,,,,。。。_ _ _ _ _ _ _,
传统上。。,traditionally...,chuántǒng shàng...,传统上。。,,,,,,,,
打破传统,to break with tradition,dǎpò chuántǒng,打破传统,,,,,,,,
供应,to supply<div>supply</div>,gōngyìng,供应,,,,,,,,
食物供应,a supply of food<div>food supply</div>,shíwù gōngyìng,食物供应,,,,,,,,
点心,<div>dim sum</div><div>dessert/pastry</div>light refreshments,diǎnxin,点心,,,,,,,,
贿赂,to bribe<div>a bribe</div>,huìlù,贿赂,,,,,,,,
巩固,to consolidate/strengthen<div>consolidation</div>,gǒnggù,巩固,,,,,,,,
地毯,carpet<div>rug</div>,dìtǎn,地毯,,,,,,,,
当代,the present age,dāngdài,当代,,,,,,,,
才智,abilities and knowledge<div>talents</div><div>wisdom</div>,"""<span class=""""tone2"""">cái</span><span class=""""tone4"""">zhì</span> <!-- cai zhi -->""","""<span class=""""tone2"""">才</span><span class=""""tone4"""">智</span>""",,[sound:才智_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>才<rt>cái</rt></ruby></span><span class=""""tone4""""><ruby>智<rt>zhì</rt></ruby></span>""",_ _,
道理,reason/sense,dàoli,道理,,,,,,,,
岛,island,dǎo,岛,,,,,,,,
磁带,magnetic tape,cídài,磁带,,,,,,,,
面条,noodles,miàntiáo,面条,,,,,,,_ _,
措施,measure/step,cuòshī,措施,,,,,,,,
单元,unit (as in forming an entity),dānyuán,单元,,,,,,,,
依靠,to rely on<div>to depend on</div>,yīkào,依靠,,,,,,,_ _,
前夕,eve (lit. and fig.),"""<span class=""""tone2"""">qián</span><span class=""""tone1"""">xī</span> <!-- qian xi -->""","""<span class=""""tone2"""">前</span><span class=""""tone1"""">夕</span>""",,[sound:前夕_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>前<rt>qián</rt></ruby></span><span class=""""tone1""""><ruby>夕<rt>xī</rt></ruby></span>""",_ _,
传说,"legend, folklore<div>it is said that...</div>",chuánshuō,传说,,,,,,,,
初步,initial<div>preliminary</div>,chūbù,初步,,,,,,,,
吃光,to eat up (colloquial),chīguāng,吃光,,,,,,,,
胆小鬼,coward,dǎnxiǎo guǐ,胆小鬼,,,,,,,_ _ _,
主角,the leading role (in a movie/play),zhǔjué,主角,,,,,,,,
一知半解,to know one and understand half (idiom)<div>to have sketchy knowledge</div><div>a little learning</div>,<table><tbody><tr><td>yī zhī bàn jiě</td></tr></tbody></table>,一知半解,,,,,,,,
扮演,to play the part of... (as in acting),bànyǎn,扮演,,,,,,,,
懦夫,coward/wimp,nuòfū,懦夫,,,,,,,_ _,
待遇,treatment (of a person - not 对待),dàiyù,待遇,,,,,,,,
道德,"""ethics<div>virtue<span style=""""color: var(--text-fg);""""></span><span style=""""color: var(--text-fg);"""">(not 美德)</span></div><div>morality</div>""",dàodé,道德,,,,,,,,
钢铁,steel,gāngtiě,钢铁,,,,,,,,
高速公路,expressway<div>highway</div>,gāosù gōnglù,高速公路,,,,,,,,
改革,reform<div>to reform</div>,gǎigé,改革,,,,,,,,
妇女,woman (w/ f),fùnǚ,妇女,,,,,,,,
清除,to clear<br>to eliminate (w/ q)<div>to clear away</div>,qīngchú,清除,,,,,,,,
毒素,poison,dúsù,毒素,,,,,,,,
有助于。。。,to contribute to... (positively)<div>to promote...</div>,yǒuzhù yú...,有助于。。。,,,,,,,,
怒视,to glare (at somebody)<div>to glower</div>,nùshì,怒视,,,,,,,,
对手,opponent<div>rival</div>,duìshǒu,对手,,,,,,,,
你不是他的对手。,"""You'<span style=""""color: var(--text-fg);"""">re no match for him.</span>""",Nǐ bùshì tā de duìshǒu.,你不是他的对手。,,,,,,,,
原来是。。。,it turned out to be...,yuánlái shì...,原来是。。。,,,,,,,,
色情,pornography<div>pornographic</div>,sèqíng,色情,,,,,,,,
器官,organ (of body - w/ q),qìguān,器官,,,,,,,_ _,
废话,nonsense (speach)<div>rubbish</div>,fèihuà,废话,,,,,,,,
发票,invoice<div>receipt</div>,fāpiào,发票,,,,,,,,
文件柜,filing cabinet,wénjiàn guì,文件柜,,,,,,,,
房东,landlord (w/ f),fángdōng,房东,,,,,,,,
低廉,cheap (w/ d),dīlián,低廉,,,,,,,_ _,
可行的,feasible,kěxíng de,可行的,,,,,,,,
投资者,investor,"""<span class=""""tone2"""">tóu</span><span class=""""tone1"""">zī</span> <span class=""""tone3"""">zhě</span> <!-- tou zi zhe -->""","""<span class=""""tone2"""">投</span><span class=""""tone1"""">资</span><span class=""""tone3"""">者</span>""",,[sound:投资者_google_zh-CN.mp3],,投資者,,"""<span class=""""tone2""""><ruby>投<rt>tóu</rt></ruby></span><span class=""""tone1""""><ruby>资<rt>zī</rt></ruby></span><span class=""""tone3""""><ruby>者<rt>zhě</rt></ruby></span>""",_ _ _,
随机,random<div>randomly</div>,suíjī,随机,,,,,,,,
击倒,"to knock down/out (person, opponent...)<div>kockout (adj.)</div>",jīdǎo,击倒,,,,,,,,
风俗,customs (w/ f),fēngsú,风俗,,,,,,,,
分摊,"to share (costs, responsibilities...)<div>to apportion</div>",fēntān,分摊,,,,,,,,
撒,to sprinkle<div>to scatter</div><div>to salt</div>,sǎ,撒,,,,,,,,
创建,"to found, to establish (not 创办 - something smaller)",chuàngjiàn,创建,,,,,,,,
主语,subject (in grammar),zhǔyǔ,主语,,,,,,,,
创办,"to establish, to found (an organization, business, country, etc...)",chuàngbàn,创办,,,,,,,,
学说,theory (w/ x),xuéshuō,学说,,,,,,,,
摔倒,"to stumble, to trip/slip and fall (w/ sh)",shuāidǎo,摔倒,,,,,,,,
我被石头绊倒了,I tripped over a stone.,wǒ bèi shítou bàn dàole,我被石头绊倒了,,,,,,,,
树根,tree roots,shùgēn,树根,,,,,,,,
功夫,Kung Fu,gōngfu,功夫,,,,,,,,
工人,worker (w/ g),gōngrén,工人,,,,,,,,
聘用,"to hire (someone, w/ p)<div>to employ</div>",pìnyòng,聘用,,,,,,,,
此地,"this place, here",cǐdì,此地,,,,,,,,
公寓,apartment,gōngyù,公寓,,,,,,,,
诞生,to be born (of important things or individuals),dànshēng,诞生,,,,,,,,
公元1500年,1500 AD,gōngyuán 1500 nián,公元1500年,,,,,,,,
公元前44年,44 BC,gōngyuán qián 44 nián,公元前44年,,,,,,,,
从。。。起算,counted from...,cóng... qǐsuàn,从。。。起算,,,,,,,,
梦见,to dream about (something or somebody)<div>to see in a dream</div>,mèngjiàn,梦见,,,,,,,,
喉咙,throat (formal),hóulóng,喉咙,,,,,,,,
固体,solid (n.),gùtǐ,固体,,,,,,,,
<div>时间观念</div>,a sense of time,shíjiān guānniàn,时间观念,,,,,,,,
罐头,can<div>caned</div>,guàntou,罐头,,,,,,,,
光盘,CD or DVD,guāngpán,光盘,,,,,,,,
拷贝,to copy (things on a computer)<div>copy</div>,kǎobèi,拷贝,,,,,,,,
光临,"""to attend<div>to honor with one's presence</div>""",guānglín,光临,,,,,,,,
光明,"brightness, radiance (fig.)<div>the Light</div>",guāngmíng,光明,,,,,,,,
气象,meteorology<div>meteorological feature</div>,qìxiàng,气象,,,,,,,,
维吾尔,Uighur ethnic group,"""<span class=""""tone2"""">wéi</span> <span class=""""tone2"""">wú</span> <span class=""""tone3"""">ěr</span> <!-- wei wu er -->""","""<span class=""""tone2"""">维</span><span class=""""tone2"""">吾</span><span class=""""tone3"""">尔</span>""",,[sound:维吾尔_google_zh-CN.mp3],,維吾爾,,"""<span class=""""tone2""""><ruby>维<rt>wéi</rt></ruby></span><span class=""""tone2""""><ruby>吾<rt>wú</rt></ruby></span><span class=""""tone3""""><ruby>尔<rt>ěr</rt></ruby></span>""",_ _ _,
自治区,Autonomous Region (official administrative designation),<table><tbody><tr><td>zìzhì qū</td></tr><tr></tr></tbody></table>,自治区,,,,,,,,
渤海,the Bohai Sea,Bó hǎi,渤海,,,,,,,,
黄海,the Yellow Sea,Huáng hǎi,黄海,,,,,,,,
黑龙江省,Heilongjiang Province,Hēilóngjiāng Shěng,黑龙江省,,,,,,,,
西伯利亚,Siberia,Xībólìyà,西伯利亚,,,,,,,,
东海,the East China Sea,Dōng hǎi,东海,,,,,,,,
南海,the South China Sea,Nán hǎi,南海,,,,,,,,
高原,plateau,gāoyuán,高原,,,,,,,,
极端,extreme (adj.)<div>extremes (n.)</div>,jíduān,极端,,,,,,,,
纪录,"to record<div>a record (in sports, etc.)</div>",jìlù,纪录,,,,,,,,
迅速,rapid (w/ x),xùnsù,迅速,,,,,,,,
面临,to face (not 面对)<div>to be confronted with</div>,miànlín,面临,,,,,,,,
储存,to stockpile<div>a stockpile</div>,chǔcún,储存,,,,,,,,
波,a wave of... (measure word),bō,波,,,,,,,,
冻雨,sleet,dòngyǔ,冻雨,,,,,,,,
寒潮,a cold wave,háncháo,寒潮,,,,,,,,
热浪,heat wave,rèlàng,热浪,,,,,,,,
警报,"""<span style=""""color: var(--field-fg); font-family: -apple-system-body; background: var(--field-bg);"""">alarm</span><div>alert</div>""",jǐng bào,警报,,,,,,,_ _,
横行,to go on a rampage<div>to run amok</div><div>ravaged</div>,héngxíng,横行,,,,,,,,
在此期间。。。,During this time...,Zài cǐ qíjiān...,在此期间。。。,,,,,,,,
首席,chief (adj./n.),shǒuxí,首席,,,,,,,,
降雪,snowfall (n.)<div>to snow (formal)</div>,jiàngxuě,降雪,,,,,,,,
孔子学院,Confucius Institute,kǒngzǐ xuéyuàn,孔子学院,,,,,,,,
天堂,heaven,tiāntáng,天堂,,,,,,,,
徒步,to hike (w/ t)<br>hiking,túbù,徒步,,,,,,,,
熬夜一整晚,to stay up all night,áoyè yī zhěng wǎn,熬夜一整晚,,,,,,,,
学会两个词,to learn two characters,学会两个字,学会两个词,,,,,,,,
毒贩,drug dealer/trafficker,dúfàn,毒贩,,,,,,,,
阿根廷,Argentina,āgēntíng,阿根廷,,,,,,,,
技巧,a tip (w/ j),jìqiǎo,技巧,,,,,,,,
进化,evolution<br>to evolve,jìnhuà,进化,,,,,,,,
独占,to monopolize<br>to control<br>to dominate,dúzhàn,独占,,,,,,,,
虚伪的人,a hypocrite,xūwěi de rén,虚伪的人,,,,,,,,
虚伪,hypocritical (w/ x)<br>artificial<br>false,xūwěi,虚伪,,,,,,,,
假设,to assume<br>assumption (not 比方)<br>supposing that...,jiǎshè,假设,,,,,,,,
退出,to withdraw<br>to abort<br>to log out (computing),"""<span class=""""tone4"""">tuì</span> <span class=""""tone1"""">chū</span> <!-- tui chu -->""","""<span class=""""tone4"""">退</span><span class=""""tone1"""">出</span>""",,[sound:退出_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>退<rt>tuì</rt></ruby></span><span class=""""tone1""""><ruby>出<rt>chū</rt></ruby></span>""",_ _,
上市,to hit the market (not 出售),shàng shì,上市,,,,,,,,
优步,Uber (company),Yōubù,优步,,,,,,,,
滴滴,Didi (company),Dīdī,滴滴,,,,,,,,
保障,<div>to ensure</div>to guarentee/safeguard (not 保证)<br>to safeguard,bǎozhàng,保障,,,,,,,,
退市,to exit the market<br>to be delisted (of a stock),tuì shì,退市,,,,,,,,
反复,repeatedly (w/ 反)<br>over and over,fǎn fù,反复,,,,,,,,
腾讯,Tencent (Investment Holding Conglomerate),Téngxùn,腾讯,,,,,,,,
声明,"a statement (by an important individual, organization - w/ sh)<br>a declaration",shēngmíng,声明,,,,,,,,
英勇,heroic (w/ y)<br>valiant,yīngyǒng,英勇,,,,,,,,
光荣,honor (w/ g),guāngróng,光荣,,,,,,,,
广场,plaza/square,guǎngchǎng,广场,,,,,,,,
