Hanzi,Meaning
虽然,although <br>even though <br>even if <br>
方便面,instant noodles <br>
水平,level (of achievement etc) <br>standard <br>
农民,peasant <br>farmer <br>
带,band<br>belt<br>to carry<br>to bear
受欢迎,well-received&nbsp;<div>popular (w/ 受)<br></div>
做法,way of doing something (w/ z)<br>work method <br>
湖北省,Hubei Province<br>
普通,common&nbsp;(from the street)<br>ordinary<br>
想法,"idea (as in way of thinking, opinion, so not 主意)<br>"
江苏省,Jiangsu Province<br>
深圳市,Shenzhen<br>
完成,to complete&nbsp;<br>
动作,movement (starting w/&nbsp;动)<br>motion
超过,to surpass <br>to exceed <br>
发展,development <br>to develop <br>
压力,pressure <br>
其中<br>,among them...<br>included among these <br>
速度,speed <br>velocity<br><div>tempo (music)</div>
印度,India <br>
预报,forecast (n.)<br>
增加,to increase<br>
工厂,factory <br>
报告,to report (w/ 报)<div>report</div>
从。。。开始,starting from [date/time]...
挪威,Norway <br>
太阳,sun <br>
半夜,midnight <br>
手工,<div>handmade</div>
制作,<div>to make</div>to manufacture (w/ zh)<br>
大师,great master <br>master <br>
不停,incessant&nbsp;
创新,<div>to innovate</div><div>to bring forth new ideas&nbsp;</div>innovation&nbsp;
退休,to retire <br>retirement (from work) <br>
头脑,mind (w/ t)
特别,especially <br>unusual <br><div>special</div>
纸,paper <br>
文化,culture <br>cultural <br>
十分,completely <br>utterly <br>100 percent<br>
树林,woods (not forest w/ 森林)
人群,crowd
交通,transportation&nbsp;
雾,fog  mist
伦敦,"London, capital of United Kingdom"
地下200米,200 meters under ground
地上两公里,2 km above ground
零上三度,three degrees above zero
努力,great effort <br>to strive <br>to try hard <br>
甘肃省,Gansu Province<br>
兰州市,Lanzhou<br>
市长,mayor <br>
隧道,tunnel <br>
惊讶,<div>surprised&nbsp;&nbsp;<br></div>to surprise
有用,useful <br>
无用,useless <br>worthless <br>
有帮助,helpful <br>
熟悉,to be familiar with <br>to know well <br>
网站,website <br>
经济,economy <br>economic <br>
经济发展,economic development <br>
加快,to accelerate （_快)<br>to speed up <br>
上网,to be on the Internet <br>
参观,to look around <br>to tour <br>to visit <br>
座,"classifier for buildings, mountains and similar immovable objects <br>"
时代,age <br>era <br>epoch <br>period <br>
早在1996年....,as early as 1996...
邀请,to invite <br>invitation <br>
更重要的是...,more importantly...
意见,opinion <br>
技术,technology <br>technique <br>skill <br>
牙刷,toothbrush <br>
梳子,comb <br>
拖鞋,slippers <br>sandals <br>flip-flops <br>
日用品,articles for daily use <br><div>toiletries</div>
请问,If I may ask...? <br>
外卖,take out (food bought at a restaurant) <br><div>to go</div>
叫外卖,to order take out
甜品,dessert (not 甜点)<br>
浪费,to waste <br>to squander <br>
婚礼,wedding ceremony <br>wedding <br>
夏威夷,Hawaii<br>
阿拉斯加,"Alaska, US state <br>"
交谈,to discuss (w/ 交)<br>to converse <br>discussion <br>
睡眠,sleep (n.)<br>
垃圾,trash <br>garbage <br>
扔掉,to throw away <br>to throw out <br>
计划,plan (something more involved)<br>to plan <br>
改变,to change (w/ 改)<br>to alter <br>to transform <br>
下载,to download <br>
上载,to upload (_载)<br>
陌生人,stranger <br>
陌生,strange (w/ m - as in unfamiliar)<br>
盒子,box<div>case <br></div>
炸,to deep fry <br>
门,"classifier for lessons, subjects, branches of technology <br>"
英国,England<br><div>the UK</div>
日本,Japan <br>
加拿大,Canada <br>
美国,the United States <br>
墨西哥,Mexico <br>
穷,poor <br>
天津市,Tianjin<br>
一般来说,generally speaking <br>
咖啡厅,coffee shop <br>
餐厅,<div>canteen<br></div> dining hall (w/ c)
实验室,laboratory <br>
实验,experiment <br>experimental <br>to experiment <br>
宽,wide <br>
它们是用来帮助人。,They are used to help people.
A跟B一样,A is the same as B
光年,light-year <br>
60年来,for the past 60 years
有意思的是。。。,Interestingly...
小提琴,violin <br>
大提琴,cello <br>
中提琴,viola <br>
低音提琴,double bass <br>contrabass <br>
拉小提琴,to play violin
钢琴,piano <br>
弹钢琴,to play piano
弹,to pluck (a string) <br>to play (a string instrument) <br>
拉,to pull<br>to drag/draw
古典乐,classical music (mainly western) <br>
吉他,guitar <br>
竖琴,harp <br>
管风琴,organ <br>pipe organ <br>
辽宁省,Liaoning<br>
蒸面,steamed noodles
蒸,(of cooking) to steam<br>
碗,bowl <br>
乒乓球,ping-pong <br>
书法,calligraphy <br>
信息,information <br>a message
中心,center (as in institution)<br>
市场,marketplace <br>market (also in abstract) <br>
类似,similar <br>analogous <br>
文件,file&nbsp;(computer)<div>document<br></div>
频道,(television) channel <br>
想象,to imagine <br>
鲸鱼,whale <br>
白鲸,Moby Dick<br>
赚钱,to earn money <br>
省钱,to save money (w/ sh)<br>
花钱,to spend money <br>
人生,lifetime (w/ 人)<br><div>life</div>
您不可通过!,You cannot pass!
通过,to pass through<div>by means of <br>through</div>
3000多年,more than 3000 years
酸,sour <br>
闻,<div>to smell <br></div><div>to sniff at</div>
草莓味冰淇淋,strawberry flavored ice cream
分成,to divide (into) (w/ 成)<br>to break into <br>
披萨,pizza (loanword) <br>
分成三分,to divide into 3 pieces
醋,vinegar <br>jealousy (in love rivalry) <br>
山西省,Shanxi<br>
热狗,hot dog (loanword) <br>
彩虹,rainbow <br>
爷爷,paternal grandfather <br>
三明治,sandwich (loanword) <br>
汉堡,hamburger (loanword)&nbsp;
认识,to meet<br>to get acquainted with sb <br>
种蔬菜,to plant vegetables
暖和,warm <br>nice and warm <br>
夏天,summer <br>
秋天,autumn <br>
冬天,winter <br>
篮球场,basketball court <br>
山洞,cavern <br>cave <br>
贵州省,Guizhou<br>
过年,to celebrate the Chinese New Year <br>
过节,to celebrate a festival <br>
开会,to hold a meeting (w/ k)<br>to attend a meeting <br>
球,ball <br>sphere <br>globe <br>
排球,volleyball <br>
